canonical_smiles,pIC50
CC(C)(C)NC(=O)CNc1ncccn1,4.0
CCCS(=O)(=O)N1CCN(CCCO)CC1,4.0
CN(C)c1nc2sc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2s1,4.0
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)cc1F,4.0
CC(C)COc1cncc(N2CCCN(c3ncccn3)CC2)n1,4.0
CCn1nc(C)c2ccn(CC(=O)NC3CCCC3)c(=O)c21,4.0
O=C1CN(C(=O)c2cc3ccc(Br)cc3[nH]2)CCN1,4.0
Cc1nn(C)c(N2CCOCC2)c1CNC(C)c1ccco1,4.0
CC(CN1CCN(C)CC1)NC(=O)c1cc(Cl)c2c(c1)OCO2,4.0
CCc1nnc2n1CCN(C(=O)c1ccc3nc(C)c(C)nc3c1)C2,4.0
CCNC(=O)c1nnc2ccc(N3CCOCC3)cc2n1,4.0
O=C(NCc1ccccc1)c1nnc2ccc(N3CCOCC3)cc2n1,4.0
CC(C)n1ccc(-c2cc(C(=O)N3CCCC3)c3ccccn23)n1,4.0
c1ccc(OC[C@@H]2CCC[C@@]23CNCCO3)nc1,4.0
c1cc(COC[C@@H]2CCC[C@@]23CNCCO3)ccn1,4.0
c1cncc(OC[C@@H]2CCC[C@@]23CNCCO3)c1,4.0
CC(C)NC(=O)N1CC[C@@H]2CN(Cc3ccccc3)S(=O)(=O)[C@@H]2CC1,4.0
FC1(F)CCN(Cc2ccccn2)CC12CCN(c1cccnc1)C2,4.0
CC1(C)Cc2ccccc2-c2nc(NCCO)[nH]c(=O)c21,4.722070511373236
CN(C)C(=O)Cc1nc(CN2CCCCC2Cn2cccn2)cs1,4.0
C[C@H]1C[C@@H]2CCN(Cc3ccccn3)C[C@H]2O1,4.0
CCS(=O)(=O)CC(=O)NC(c1ccc(F)cc1)C1CCCC1,4.0
CCc1csc(C2CCCN(C(=O)c3cnn(CC)c3)C2)n1,4.0
Cc1ccc2c(n1)N(C)CCN(C(=O)NC1CC1)C2,4.0
CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)n[nH]2)[nH]n1,4.471224018510919
O=C(NCC1CC1)C1CN(C(=O)c2cccc(Cl)c2)CC12CCOCC2,4.0
CN(C)S(=O)(=O)N1C[C@H](Oc2cccnc2)[C@H]2OCCC[C@H]21,4.0
CO[C@@H]1CC[C@H]2[C@H]1OCCN2C(=O)c1ccc(C)o1,4.0
Cc1ccsc1C(=O)N1CC(C(=O)NCC2CC2)C2(CCOCC2)C1,4.0
Cc1ccsc1C(=O)N1CC(C(=O)N2CCOCC2)C2(CCOCC2)C1,4.0
Cc1cc(-c2cnc(NC3CC3)nc2-c2ccc(C)o2)on1,4.217682774992047
Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccco2)on1,4.667442176006099
Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,4.0
Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccc(C)o2)on1,4.817211992013137
Cc1cc(-c2cnc(NC3CC3)nc2-c2ccco2)on1,4.0
Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2C)on1,4.0
Cc1cc(-c2cnc(NC3CC3)nc2-c2ccoc2)on1,4.0
Cc1occc1-c1nc(NC2CCCC2)ncc1-c1ccccn1,4.0
Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2C)on1,3.5400000004708225
Cc1cc(-c2cnc(NC3CCCC3)nc2-c2ccoc2)on1,4.0
COc1cc(-c2cccc3c2OC(CN)C3)ccc1O,4.656048532856135
Cn1cnc(S(=O)(=O)N2C[C@@H]3CC[C@H](C2)N(Cc2ccccn2)C3)c1,4.0
COc1ccc(CC2(CO)CCN(c3cc(C#N)ccn3)CC2)cc1,4.0
CN(C)S(=O)(=O)NC1CCCc2c1cnn2-c1ccc(C(C)(C)C)cc1,4.0
CN1CCC(c2n[nH]c(=O)n2-c2cccc(Cl)c2)CC1,4.0
NCC1Cc2cccc(-c3ccc(O)c(F)c3)c2O1,4.898337800436037
CNc1nc(C(=O)N2CCCC(COc3ccc(F)cc3)C2)cs1,4.0
Cn1ncc2c(NC3CCC3)nc(-c3ccncc3)nc21,4.0
Cc1nc(N)nc(C)c1CC(=O)N1CCC2(CC1)OCCCC2O,4.0
O=C1CC2(CCN(Cc3ccc(-c4ccccc4)s3)C2)C(=O)N1,4.0
Cc1nc(N2CCN(C)CC2)ncc1C(=O)N1CCC(O)(CO)CC1,4.0
CCc1cc(NCCc2ccc(O)cc2)n2nccc2n1,4.437630635061969
COc1ccccc1OCc1cc(C(=O)N2CC(O)C2)n[nH]1,4.0
CCc1cc(C)c(C(=O)N2CCCC2CC(=O)c2cnn(C)c2)o1,4.0
CCOc1cc(C)nc(N2CCN(C(=O)CC)CC2)n1,4.0
